SGB	used_nGD_score_percentile
t__SGB4727	0.03
t__SGB4777	0.03
t__SGB4778	0.03
t__SGB5071	0.03
t__SGB4699	0.03
t__SGB4651	0.03
t__SGB25431	0.03
t__SGB4893	0.03
t__SGB4638	0.03
t__SGB4671	0.03
t__SGB4688	0.03
t__SGB4718	0.03
t__SGB4728	0.03
t__SGB4746	0.03
t__SGB4747	0.03
t__SGB48024	0.03
t__SGB4803	0.03
t__SGB4834	0.03
t__SGB4877	0.03
t__SGB4906	0.03
t__SGB4909	0.03
t__SGB4963	0.03
t__SGB5050	0.03
t__SGB5104	0.03
t__SGB5076	0.03
t__SGB4701	0.03
t__SGB25493	0.03
t__SGB4606	0.03
t__SGB4553	0.03
t__SGB4626	0.03
t__SGB15124	0.03
t__SGB15077	0.03
t__SGB4059	0.03
t__SGB49168	0.03
t__SGB6136	0.03
t__SGB746	0.03
t__SGB748	0.03
t__SGB14894	0.03
t__SGB14963	0.03
t__SGB4619	0.03
t__SGB15134	0.03
t__SGB4212	0.03
t__SGB4420	0.03
t__SGB14898	0.03
t__SGB15012	0.03
t__SGB15015	0.03
t__SGB15019	0.03
t__SGB15022	0.03
t__SGB15035	0.03
t__SGB15042_group	0.03
t__SGB15052	0.03
t__SGB15065	0.03
t__SGB15067	0.03
t__SGB15068	0.03
t__SGB15073	0.03
t__SGB15075	0.03
t__SGB15076	0.03
t__SGB15085	0.03
t__SGB15086	0.03
t__SGB15115	0.03
t__SGB15164	0.03
t__SGB15201	0.03
t__SGB15203	0.03
t__SGB15209	0.03
t__SGB15210	0.03
t__SGB15213	0.03
t__SGB15218	0.03
t__SGB15238	0.03
t__SGB15290	0.03
t__SGB14890	0.03
t__SGB14851	0.03
t__SGB14837	0.03
t__SGB15156_group	0.03
t__SGB14974	0.03
t__SGB14960	0.03
t__SGB14177	0.03
t__SGB14834	0.03
t__SGB15196	0.03
t__SGB15273	0.03
t__SGB15275	0.03
t__SGB15278	0.03
t__SGB4174	0.03
t__SGB4183	0.03
t__SGB4393	0.03
t__SGB53821	0.03
t__SGB25497	0.03
t__SGB4272	0.03
t__SGB4035	0.03
t__SGB4042	0.03
t__SGB6771	0.03
t__SGB4031	0.03
t__SGB4027	0.03
t__SGB4029	0.03
t__SGB6836_group	0.03
t__SGB4030	0.03
t__SGB4046	0.03
t__SGB6769	0.03
t__SGB4026	0.03
t__SGB6768	0.03
t__SGB6833_group	0.03
t__SGB6846	0.03
t__SGB6847	0.03
t__SGB6962_group	0.03
t__SGB5906_group	0.03
t__SGB6961	0.03
t__SGB5870	0.03
t__SGB5869	0.03
t__SGB5842	0.03
t__SGB5868	0.03
t__SGB5855	0.03
t__SGB6956	0.03
t__SGB6661	0.03
t__SGB6653	0.03
t__SGB6705	0.03
t__SGB6007	0.03
t__SGB9203	0.03
t__SGB9205	0.03
t__SGB9202	0.03
t__SGB9344	0.03
t__SGB9387	0.03
t__SGB9269	0.03
t__SGB15463	0.03
t__SGB15469	0.03
t__SGB15459	0.03
t__SGB58520	0.03
t__SGB10074	0.03
t__SGB10083_group	0.03
t__SGB10119	0.03
t__SGB10118	0.03
t__SGB10028	0.03
t__SGB9992	0.03
t__SGB15506	0.03
t__SGB6584	0.03
t__SGB2154	0.03
t__SGB1024	0.03
t__SGB17300	0.03
t__SGB17231	0.03
t__SGB14334	0.03
t__SGB14339	0.03
t__SGB14336	0.03
t__SGB1472	0.03
t__SGB1474	0.03
t__SGB1842	0.03
t__SGB2076	0.03
t__SGB2173	0.03
t__SGB1980	0.03
t__SGB1477_group	0.03
t__SGB1653	0.03
t__SGB1585	0.03
t__SGB1662	0.03
t__SGB1666	0.03
t__SGB2240	0.03
t__SGB2321	0.03
t__SGB2241	0.03
t__SGB2227	0.03
t__SGB1930	0.03
t__SGB2276	0.03
t__SGB7295	0.03
t__SGB7865	0.03
t__SGB6452	0.03
t__SGB6510	0.03
t__SGB6511	0.03
t__SGB6428	0.03
t__SGB6420	0.03
t__SGB6522	0.03
t__SGB7088_group	0.03
t__SGB7098	0.03
t__SGB3965	0.03
t__SGB13979	0.03
t__SGB14110	0.03
t__SGB15377	0.03
t__SGB15408	0.03
t__SGB53819	0.03
t__SGB6290	0.03
t__SGB13999	0.03
t__SGB3983	0.03
t__SGB4317	0.03
t__SGB4373	0.03
t__SGB6307	0.03
t__SGB4364	0.03
t__SGB5182	0.03
t__SGB6285	0.03
t__SGB6310	0.03
t__SGB6338	0.03
t__SGB13976	0.03
t__SGB14237	0.03
t__SGB14243	0.03
t__SGB15394	0.03
t__SGB14985_group	0.03
t__SGB6188	0.03
t__SGB3978	0.03
t__SGB3926_group	0.03
t__SGB5058	0.03
t__SGB6816	0.03
t__SGB5116	0.03
t__SGB4675	0.03
t__SGB4958	0.03
t__SGB4053	0.03
t__SGB15345	0.03
t__SGB15041	0.03
t__SGB15064	0.03
t__SGB15095_group	0.03
t__SGB15108	0.03
t__SGB15111	0.03
t__SGB15179	0.03
t__SGB15212	0.03
t__SGB14908	0.03
t__SGB4418	0.03
t__SGB6817	0.03
t__SGB5743	0.03
t__SGB5904	0.03
t__SGB5820	0.03
t__SGB9274	0.03
t__SGB9391	0.03
t__SGB9281	0.03
t__SGB9297_group	0.03
t__SGB9280	0.03
t__SGB9243	0.03
t__SGB9247	0.03
t__SGB15460	0.03
t__SGB8779	0.03
t__SGB14745	0.03
t__SGB1475	0.03
t__SGB1895	0.03
t__SGB1517	0.03
t__SGB1679	0.03
t__SGB8620	0.03
t__SGB8655	0.03
t__SGB6499	0.03
t__SGB6487	0.03
t__SGB6493	0.03
t__SGB6502	0.03
t__SGB6449	0.03
t__SGB6458	0.03
t__SGB6460	0.03
t__SGB6518	0.03
t__SGB6526	0.03
t__SGB6548	0.03
t__SGB8022	0.03
t__SGB14138	0.03
t__SGB14193	0.03
t__SGB14259	0.03
t__SGB3993	0.03
t__SGB4395	0.03
t__SGB14297	0.03
t__SGB4372	0.03
t__SGB4123	0.03
t__SGB6365	0.03
t__SGB4713	0.03
t__SGB4891	0.03
t__SGB4744	0.03
t__SGB51830	0.03
t__SGB4208	0.03
t__SGB4260	0.03
t__SGB4274	0.03
t__SGB4423	0.03
t__SGB15013	0.03
t__SGB15097	0.03
t__SGB15099	0.03
t__SGB15100	0.03
t__SGB15101	0.03
t__SGB14905	0.03
t__SGB15084	0.03
t__SGB5849	0.03
t__SGB5862	0.03
t__SGB5857_group	0.03
t__SGB6031	0.03
t__SGB14737	0.03
t__SGB1404	0.03
t__SGB1910	0.03
t__SGB1883_group	0.03
t__SGB2121	0.03
t__SGB2087	0.03
t__SGB1670	0.03
t__SGB1559	0.03
t__SGB1677	0.03
t__SGB2238	0.03
t__SGB2239	0.03
t__SGB2313	0.03
t__SGB2019	0.03
t__SGB6509	0.03
t__SGB14291	0.03
t__SGB6350	0.03
t__SGB6353	0.03
t__SGB15004	0.03
t__SGB15211	0.03
t__SGB15239	0.03
t__SGB15355	0.03
t__SGB15257	0.03
t__SGB5731	0.03
t__SGB6728	0.03
t__SGB15447	0.03
t__SGB15488	0.03
t__SGB1990	0.03
t__SGB6484	0.03
t__SGB14043	0.03
t__SGB4314	0.03
t__SGB4312	0.03
t__SGB15313	0.03
t__SGB4194	0.03
t__SGB5794_group	0.03
t__SGB6686_group	0.03
t__SGB6701	0.03
t__SGB8767_group	0.03
t__SGB14794	0.03
t__SGB7076	0.03
t__SGB5300	0.03
t__SGB4870	0.03
t__SGB4673	0.03
t__SGB4419	0.03
t__SGB6461	0.03
t__SGB6271	0.03
t__SGB3980	0.03
t__SGB3977	0.03
t__SGB5832	0.03
t__SGB6648	0.03
t__SGB14740	0.03
t__SGB14768	0.03
t__SGB1657	0.03
t__SGB1636_group	0.03
t__SGB1437	0.03
t__SGB13947	0.03
t__SGB14004	0.03
t__SGB14005	0.03
t__SGB4406	0.03
t__SGB13972	0.03
t__SGB4900	0.03
t__SGB4704	0.03
t__SGB5853	0.03
t__SGB14739	0.03
t__SGB2133	0.03
t__SGB1797	0.03
t__SGB2323	0.03
t__SGB8630	0.03
t__SGB6445	0.03
t__SGB6570	0.03
t__SGB6719	0.03
t__SGB6726	0.03
t__SGB5967	0.03
t__SGB8769	0.03
t__SGB9223	0.03
t__SGB9224	0.03
t__SGB2135	0.03
t__SGB8631	0.03
t__SGB8634	0.03
t__SGB6550	0.03
t__SGB6606	0.03
t__SGB6508	0.03
t__SGB14017	0.03
t__SGB14026	0.03
t__SGB4333	0.03
t__SGB6330	0.03
t__SGB6359	0.03
t__SGB6272	0.03
t__SGB14778	0.03
t__SGB14332	0.03
t__SGB8597	0.03
t__SGB14948	0.03
t__SGB5063	0.03
t__SGB9153	0.03
t__SGB72500_group	0.03
t__SGB14328	0.03
t__SGB1481	0.03
t__SGB2021	0.03
t__SGB2166	0.03
t__SGB4316	0.03
t__SGB1614	0.03
t__SGB1663	0.03
t__SGB1667	0.03
t__SGB1668	0.03
t__SGB1676	0.03
t__SGB3677	0.03
t__SGB14394	0.03
t__SGB15471	0.03
t__SGB8653	0.03
t__SGB1672_group	0.03
t__SGB1705	0.03
t__SGB17278	0.05
t__SGB17234	0.05
t__SGB17237	0.05
t__SGB14797_group	0.05
t__SGB63101	0.05
t__SGB1877	0.05
t__SGB1844	0.05
t__SGB1829	0.05
t__SGB1860	0.05
t__SGB1862	0.05
t__SGB1846	0.05
t__SGB1858	0.05
t__SGB1871	0.05
t__SGB1857	0.05
t__SGB1830_group	0.05
t__SGB1861	0.05
t__SGB1867	0.05
t__SGB1815	0.05
t__SGB1812	0.05
t__SGB1963	0.05
t__SGB1790	0.05
t__SGB2290	0.05
t__SGB2301	0.05
t__SGB2328	0.05
t__SGB2325	0.05
t__SGB2286	0.05
t__SGB2303	0.05
t__SGB2296	0.05
t__SGB2295	0.05
t__SGB2326	0.05
t__SGB1934	0.05
t__SGB1948	0.05
t__SGB1949	0.05
t__SGB6438	0.05
t__SGB6579	0.05
t__SGB8007_group	0.05
t__SGB8002	0.05
t__SGB4664	0.05
t__SGB4665	0.05
t__SGB14924	0.05
t__SGB14895	0.05
t__SGB13982	0.05
t__SGB14022	0.05
t__SGB14874	0.05
t__SGB15373	0.05
t__SGB15390	0.05
t__SGB3992	0.05
t__SGB6346	0.05
t__SGB4121	0.05
t__SGB4447	0.05
t__SGB6317	0.05
t__SGB3996	0.05
t__SGB4327_group	0.05
t__SGB4328	0.05
t__SGB6305	0.05
t__SGB6347	0.05
t__SGB14114	0.05
t__SGB14123	0.05
t__SGB14991	0.05
t__SGB4629	0.05
t__SGB4721	0.05
t__SGB6178	0.05
t__SGB4705	0.05
t__SGB15154	0.05
t__SGB4714	0.05
t__SGB4659	0.05
t__SGB4749	0.05
t__SGB4711	0.05
t__SGB4652	0.05
t__SGB4753	0.05
t__SGB4643	0.05
t__SGB4658	0.05
t__SGB14980_group	0.05
t__SGB15158	0.05
t__SGB15120	0.05
t__SGB15126	0.05
t__SGB4166	0.05
t__SGB4546	0.05
t__SGB5043	0.05
t__SGB5042	0.05
t__SGB5051	0.05
t__SGB6796_group	0.05
t__SGB4537	0.05
t__SGB4805	0.05
t__SGB4815_group	0.05
t__SGB4831_group	0.05
t__SGB4816	0.05
t__SGB4809	0.05
t__SGB4786	0.05
t__SGB4825	0.05
t__SGB4810	0.05
t__SGB4828_group	0.05
t__SGB4829	0.05
t__SGB4788_group	0.05
t__SGB4670	0.05
t__SGB4577_group	0.05
