taxonomy_old	taxonomy_new	taxonomy_id_new
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__GGB13077|s__GGB13077_SGB20266|t__SGB20266	k__Bacteria|p__Bacteroidetes|c__CFGB654|o__OFGB654|f__FGB654|g__GGB13077|s__GGB13077_SGB20266|t__SGB20266	2|976||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB6438|s__GGB6438_SGB9117|t__SGB9117	k__Bacteria|p__Proteobacteria|c__CFGB2326|o__OFGB2326|f__FGB2326|g__GGB6438|s__GGB6438_SGB9117|t__SGB9117	2|1224||||||
k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077|f__FGB76077|g__GGB28848|s__GGB28848_SGB41515|t__SGB41515	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB28848|s__GGB28848_SGB41515|t__SGB41515	2|1239|186801|186802|31979|||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB28632|s__GGB28632_SGB41253|t__SGB41253	k__Bacteria|p__Firmicutes|c__CFGB9575|o__OFGB9575|f__FGB9575|g__GGB28632|s__GGB28632_SGB41253|t__SGB41253	2|1239||||||
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB80055|s__GGB80055_SGB4053|t__SGB4053	k__Bacteria|p__Firmicutes|c__CFGB1258|o__OFGB1258|f__FGB1258|g__GGB3052|s__GGB3052_SGB4053|t__SGB4053	2|1239||||||
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_SGB6348|t__SGB6348	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4589|s__GGB4589_SGB6348|t__SGB6348	2|1239||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB42969|s__GGB42969_SGB60195|t__SGB60195	k__Bacteria|p__Proteobacteria|c__CFGB75390|o__OFGB75390|f__FGB75390|g__GGB42969|s__GGB42969_SGB60195|t__SGB60195	2|1224||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Eubacteriales_unclassified_SGB4861|t__SGB4861	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3600|s__GGB3600_SGB4861|t__SGB4861	2|1239|186801|186802|186803|||
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_SGB2156|t__SGB2156	k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642|f__FGB642|g__GGB1569|s__GGB1569_SGB2156|t__SGB2156	2|976||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__GGB3262|s__GGB3262_SGB4309|t__SGB4309	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB3262|s__GGB3262_SGB4309|t__SGB4309	2|1239|186801|186802|186806|||
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB24888|s__GGB24888_SGB36798|t__SGB36798	k__Bacteria|p__Actinobacteria|c__CFGB24887|o__OFGB24887|f__FGB24887|g__GGB24888|s__GGB24888_SGB36798|t__SGB36798	2|201174||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_unclassified_SGB40879|t__SGB40879	k__Bacteria|p__Proteobacteria|c__CFGB9468|o__OFGB9468|f__FGB9468|g__GGB28309|s__GGB28309_SGB40879|t__SGB40879	2|1224||||||
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum_SGB9156|t__SGB9156	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_unclassified|o__Verrucomicrobia_unclassified|f__Verrucomicrobia_unclassified|g__Verrucomicrobia_unclassified|s__Verrucomicrobia_unclassified_SGB9156|t__SGB9156	2|74201||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79435|s__GGB79435_SGB106089|t__SGB106089	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB78802|s__GGB78802_SGB106089|t__SGB106089	2|1239|186801|186802|186803|||
k__Bacteria|p__Firmicutes|c__CFGB73209|o__OFGB73209|f__FGB73209|g__GGB30140|s__GGB30140_SGB43065|t__SGB43065	k__Bacteria|p__Firmicutes|c__CFGB5209|o__OFGB5209|f__FGB5209|g__GGB30140|s__GGB30140_SGB43065|t__SGB43065	2|1239||||||
k__Bacteria|p__Proteobacteria|c__CFGB76404|o__OFGB76404|f__FGB76404|g__GGB6615|s__GGB6615_SGB92834|t__SGB92834	k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404|g__GGB6615|s__GGB6615_SGB92834|t__SGB92834	2|1224||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4597|s__GGB4597_SGB6359|t__SGB6359	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4597|s__GGB4597_SGB6359|t__SGB6359	2|1239||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB20550|t__SGB20550	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3480|s__GGB3480_SGB20550|t__SGB20550	2|1239|186801|186802|31979|||
k__Bacteria|p__Acidobacteria|c__CFGB125|o__OFGB125|f__FGB125|g__GGB27332|s__GGB27332_SGB45779|t__SGB45779	k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB125|o__OFGB125|f__FGB125|g__GGB27332|s__GGB27332_SGB45779|t__SGB45779	2157|2283796||||||
k__Bacteria|p__Bacteroidetes|c__CFGB54409|o__OFGB54409|f__FGB54409|g__GGB77087|s__GGB77087_SGB104432|t__SGB104432	k__Bacteria|p__Bacteroidetes|c__CFGB54409|o__OFGB54409|f__FGB54409|g__GGB78270|s__GGB78270_SGB104432|t__SGB104432	2|976||||||
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__GGB80137|s__GGB80137_SGB40860|t__SGB40860	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__GGB21083|s__GGB21083_SGB40860|t__SGB40860	2|1224|1236|135624|83763|||
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB35|o__OFGB35|f__FGB35|g__GGB47|s__GGB47_SGB64|t__SGB64	k__Archaea|p__Euryarchaeota|c__CFGB35|o__OFGB35|f__FGB35|g__GGB47|s__GGB47_SGB64|t__SGB64	2157|28890||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB9782|s__GGB9782_SGB15403|t__SGB15403	k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB9782|s__GGB9782_SGB15403|t__SGB15403	2|1239||||||
k__Bacteria|p__Synergistetes|c__CFGB8942|o__OFGB8942|f__FGB8942|g__GGB26727|s__GGB26727_SGB38911|t__SGB38911	k__Bacteria|p__Firmicutes|c__CFGB8942|o__OFGB8942|f__FGB8942|g__GGB26727|s__GGB26727_SGB38911|t__SGB38911	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152|g__GGB28864|s__GGB28864_SGB41534|t__SGB41534	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28864|s__GGB28864_SGB41534|t__SGB41534	2|1239|186801|186802|186803|||
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB65152|s__GGB65152_SGB88114|t__SGB88114	k__Bacteria|p__Proteobacteria|c__CFGB57935|o__OFGB57935|f__FGB57935|g__GGB65152|s__GGB65152_SGB88114|t__SGB88114	2|1224||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30466|s__GGB30466_SGB63211|t__SGB63211	k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB63211|t__SGB63211	2|||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_SGB15070|t__SGB15070	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9620|s__GGB9620_SGB15070|t__SGB15070	2|1239|186801|186802|216572|||
k__Bacteria|p__Firmicutes|c__CFGB76106|o__OFGB76106|f__FGB76106|g__GGB33657|s__GGB33657_SGB47663|t__SGB47663	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB33657|s__GGB33657_SGB47663|t__SGB47663	2|1239|186801|186802|186803|||
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_SGB15266|t__SGB15266	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715|s__GGB9715_SGB15266|t__SGB15266	2|1239|186801|186802|216572|||
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760|s__GGB9760_SGB15374|t__SGB15374	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__GGB9760|s__GGB9760_SGB15374|t__SGB15374	2|1239|186801|186802||||
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB80167|s__GGB80167_SGB63230|t__SGB63230	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_SGB63230|t__SGB63230	2|1239|186801|186802|216572|459786||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_SGB6276|t__SGB6276	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4552|s__GGB4552_SGB6276|t__SGB6276	2|1239||||||
k__Bacteria|p__Tenericutes|c__CFGB76069|o__OFGB76069|f__FGB76069|g__GGB26650|s__GGB26650_SGB38831|t__SGB38831	k__Bacteria|p__Firmicutes|c__CFGB74441|o__OFGB74441|f__FGB74441|g__GGB26650|s__GGB26650_SGB38831|t__SGB38831	2|1239||||||
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064|g__GGB28897|s__GGB28897_SGB41579|t__SGB41579	k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28897|s__GGB28897_SGB41579|t__SGB41579	2|||||||
k__Bacteria|p__Bacteroidetes|c__CFGB76022|o__OFGB76022|f__FGB76022|g__GGB5027|s__GGB5027_SGB48267|t__SGB48267	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB74469|s__GGB74469_SGB48267|t__SGB48267	2|976|200643|171549|2005473|||
k__Bacteria|p__Proteobacteria|c__CFGB6389|o__OFGB6389|f__FGB6389|g__GGB80054|s__GGB80054_SGB66339|t__SGB66339	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__GGB16040|s__GGB16040_SGB66339|t__SGB66339	2|1224|28211|204455|31989|||
k__Bacteria|p__Proteobacteria|c__CFGB76237|o__OFGB76237|f__FGB76237|g__GGB57866|s__GGB57866_SGB79483|t__SGB79483	k__Bacteria|p__Proteobacteria|c__CFGB74002|o__OFGB74002|f__FGB74002|g__GGB57866|s__GGB57866_SGB79483|t__SGB79483	2|1224||||||
k__Bacteria|p__Chloroflexi|c__CFGB76625|o__OFGB76625|f__FGB76625|g__GGB70048|s__GGB70048_SGB94387|t__SGB94387	k__Bacteria|p__Chloroflexi|c__CFGB74828|o__OFGB74828|f__FGB74828|g__GGB70048|s__GGB70048_SGB94387|t__SGB94387	2|200795||||||
k__Bacteria|p__Firmicutes|c__CFGB76157|o__OFGB76157|f__FGB76157|g__GGB25229|s__GGB25229_SGB37165|t__SGB37165	k__Bacteria|p__Firmicutes|c__CFGB74589|o__OFGB74589|f__FGB74589|g__GGB25229|s__GGB25229_SGB37165|t__SGB37165	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB41867|o__OFGB41867|f__FGB41867|g__GGB29468|s__GGB29468_SGB42247|t__SGB42247	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__GGB29468|s__GGB29468_SGB42247|t__SGB42247	2|1239|526524|526525|128827|||
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4592|s__GGB4592_SGB106571|t__SGB106571	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4592|s__GGB4592_SGB106571|t__SGB106571	2|1239||||||
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__GGB6123|s__GGB6123_SGB8768|t__SGB8768	k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales|f__Puniceicoccaceae|g__GGB6123|s__GGB6123_SGB8768|t__SGB8768	2|74201|414999|415001|415002|||
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__GGB28992|s__GGB28992_SGB41707|t__SGB41707	k__Bacteria|p__Firmicutes|c__CFGB9655|o__OFGB9655|f__FGB9655|g__GGB28992|s__GGB28992_SGB41707|t__SGB41707	2|1239||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB49462|s__GGB49462_SGB63227|t__SGB63227	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_SGB63227|t__SGB63227	2|1239|186801|186802|216572|459786||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB74213|s__GGB74213_SGB58484|t__SGB58484	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4592|s__GGB4592_SGB58484|t__SGB58484	2|1239||||||
k__Bacteria|p__Kiritimatiellaeota|c__CFGB3176|o__OFGB3176|f__FGB3176|g__GGB13151|s__GGB13151_SGB20358|t__SGB20358	k__Bacteria|p__Lentisphaerae|c__CFGB3176|o__OFGB3176|f__FGB3176|g__GGB13151|s__GGB13151_SGB20358|t__SGB20358	2|256845||||||
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__GGB9469|s__GGB9469_SGB14863|t__SGB14863	k__Bacteria|p__Firmicutes|c__CFGB3005|o__OFGB3005|f__FGB3005|g__GGB9469|s__GGB9469_SGB14863|t__SGB14863	2|1239||||||
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__GGB25411|s__GGB25411_SGB37363|t__SGB37363	k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072|g__GGB25411|s__GGB25411_SGB37363|t__SGB37363	2|1239||||||
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_SGB5077|t__SGB5077	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3740|s__GGB3740_SGB5077|t__SGB5077	2|1239|186801|186802|186803|||
k__Bacteria|p__Proteobacteria|c__CFGB76419|o__OFGB76419|f__FGB76419|g__GGB64019|s__GGB64019_SGB86406|t__SGB86406	k__Bacteria|p__Proteobacteria|c__CFGB26115|o__OFGB26115|f__FGB26115|g__GGB64019|s__GGB64019_SGB86406|t__SGB86406	2|1224||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB38036|s__GGB38036_SGB6260|t__SGB6260	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4539|s__GGB4539_SGB6260|t__SGB6260	2|1239||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB30087|s__GGB30087_SGB42999|t__SGB42999	k__Bacteria|p__Firmicutes|c__CFGB9942|o__OFGB9942|f__FGB9942|g__GGB30087|s__GGB30087_SGB42999|t__SGB42999	2|1239||||||
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter|s__Sanguibacter_SGB53806|t__SGB53806	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB36331|s__GGB36331_SGB53806|t__SGB53806	2|1239|186801|186802|216572|||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB6554|s__GGB6554_SGB9256|t__SGB9256	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB6554|s__GGB6554_SGB9256|t__SGB9256	2|1224|28216|80840|995019|||
k__Bacteria|p__Candidatus_Gracilibacteria|c__CFGB2601|o__OFGB2601|f__FGB2601|g__GGB46437|s__GGB46437_SGB64294|t__SGB64294	k__Bacteria|p__Candidatus_Gracilibacteria|c__CFGB42195|o__OFGB42195|f__FGB42195|g__GGB46437|s__GGB46437_SGB64294|t__SGB64294	2|363464||||||
k__Bacteria|p__candidate_division_NC10|c__CFGB5371|o__OFGB5371|f__FGB5371|g__GGB15818|s__GGB15818_SGB24070|t__SGB24070	k__Bacteria|p__Proteobacteria|c__CFGB5371|o__OFGB5371|f__FGB5371|g__GGB15818|s__GGB15818_SGB24070|t__SGB24070	2|1224||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4586|s__GGB4586_SGB6343|t__SGB6343	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4586|s__GGB4586_SGB6343|t__SGB6343	2|1239||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4587|s__GGB4587_SGB6346|t__SGB6346	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4587|s__GGB4587_SGB6346|t__SGB6346	2|1239||||||
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__GGB75334|s__GGB75334_SGB102785|t__SGB102785	k__Bacteria|p__Chloroflexi|c__CFGB32740|o__OFGB32740|f__FGB32740|g__GGB75334|s__GGB75334_SGB102785|t__SGB102785	2|200795||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB24132|s__GGB24132_SGB41267|t__SGB41267	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB28645|s__GGB28645_SGB41267|t__SGB41267	2|1239|186801|186802|186806|||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_SGB92255|t__SGB92255	k__Bacteria|p__Bacteroidetes|c__CFGB10776|o__OFGB10776|f__FGB10776|g__GGB68324|s__GGB68324_SGB92255|t__SGB92255	2|976||||||
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_SGB5123|t__SGB5123	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3761|s__GGB3761_SGB5123|t__SGB5123	2|1239|186801|186802|186803|||
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB41508|t__SGB41508	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB28842|s__GGB28842_SGB41508|t__SGB41508	2|1239|186801|186802|186803|||
k__Bacteria|p__Firmicutes|c__CFGB43013|o__OFGB43013|f__FGB43013|g__GGB13315|s__GGB13315_SGB20561|t__SGB20561	k__Bacteria|p__Firmicutes|c__CFGB49311|o__OFGB49311|f__FGB49311|g__GGB13315|s__GGB13315_SGB20561|t__SGB20561	2|1239||||||
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__GGB79802|s__GGB79802_SGB60240|t__SGB60240	k__Bacteria|p__Proteobacteria|c__CFGB43006|o__OFGB43006|f__FGB43006|g__GGB76177|s__GGB76177_SGB60240|t__SGB60240	2|1224||||||
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB30302|s__GGB30302_SGB43266|t__SGB43266	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB30302|s__GGB30302_SGB43266|t__SGB43266	2|1239|186801|186802|216572|||
k__Bacteria|p__Actinobacteria|c__CFGB73496|o__OFGB73496|f__FGB73496|g__GGB70518|s__GGB70518_SGB94950|t__SGB94950	k__Bacteria|p__Actinobacteria|c__CFGB18380|o__OFGB18380|f__FGB18380|g__GGB70518|s__GGB70518_SGB94950|t__SGB94950	2|201174||||||
k__Bacteria|p__Bacteroidetes|c__CFGB40228|o__OFGB40228|f__FGB40228|g__GGB79735|s__GGB79735_SGB79050|t__SGB79050	k__Bacteria|p__Bacteroidetes|c__CFGB40228|o__OFGB40228|f__FGB40228|g__GGB78845|s__GGB78845_SGB79050|t__SGB79050	2|976||||||
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB65924|t__SGB65924	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB73514|s__GGB73514_SGB65924|t__SGB65924	2|1239|909932|909929|1843491|||
k__Archaea|p__Euryarchaeota|c__CFGB75982|o__OFGB75982|f__FGB75982|g__GGB27386|s__GGB27386_SGB39656|t__SGB39656	k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB9301|o__OFGB9301|f__FGB9301|g__GGB27386|s__GGB27386_SGB39656|t__SGB39656	2157|2283796||||||
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_SGB6473|t__SGB6473	k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776|g__GGB4683|s__GGB4683_SGB6473|t__SGB6473	2|1239||||||
k__Bacteria|p__Bacteroidetes|c__CFGB76294|o__OFGB76294|f__FGB76294|g__GGB79703|s__GGB79703_SGB40800|t__SGB40800	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_SGB40800|t__SGB40800	2|976|200643|171549|2005525|375288||
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified|g__GGB75650|s__GGB75650_SGB103080|t__SGB103080	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae|g__GGB75650|s__GGB75650_SGB103080|t__SGB103080	2|1224|28216|206389|2008794|||
k__Bacteria|p__Bacteroidetes|c__CFGB24388|o__OFGB24388|f__FGB24388|g__GGB46681|s__GGB46681_SGB64555|t__SGB64555	k__Bacteria|p__Bacteroidetes|c__CFGB24387|o__OFGB24387|f__FGB24387|g__GGB46681|s__GGB46681_SGB64555|t__SGB64555	2|976||||||
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_SGB42251|t__SGB42251	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__GGB29472|s__GGB29472_SGB42251|t__SGB42251	2|1239|526524|526525|128827|||
k__Bacteria|p__Bacteroidetes|c__CFGB76496|o__OFGB76496|f__FGB76496|g__GGB50290|s__GGB50290_SGB70366|t__SGB70366	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB50290|s__GGB50290_SGB70366|t__SGB70366	2|976|200643|171549|2005473|||
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB27879|s__GGB27879_SGB77797|t__SGB77797	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27879|s__GGB27879_SGB77797|t__SGB77797	2|976|200643|171549|2005473|||
k__Bacteria|p__Firmicutes|c__CFGB43013|o__OFGB43013|f__FGB43013|g__GGB78851|s__GGB78851_SGB106203|t__SGB106203	k__Bacteria|p__Firmicutes|c__CFGB49311|o__OFGB49311|f__FGB49311|g__GGB76990|s__GGB76990_SGB106203|t__SGB106203	2|1239||||||
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified|s__Bacteria_unclassified_SGB54310|t__SGB54310	k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae|g__GGB9102|s__GGB9102_SGB54310|t__SGB54310	2|1239|186801|2508939|2508947|||
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_SGB1956|t__SGB1956	k__Bacteria|p__Bacteroidetes|c__CFGB602|o__OFGB602|f__FGB602|g__GGB1420|s__GGB1420_SGB1956|t__SGB1956	2|976||||||
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__GGB74495|s__GGB74495_SGB43817|t__SGB43817	k__Bacteria|p__Proteobacteria|c__CFGB10055|o__OFGB10055|f__FGB10055|g__GGB74495|s__GGB74495_SGB43817|t__SGB43817	2|1224||||||
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4584|s__GGB4584_SGB6338|t__SGB6338	k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4584|s__GGB4584_SGB6338|t__SGB6338	2|1239||||||
